Time,Value(lbs)
2021-12-5 15:34:03.927652,113.6
2021-12-10 15:34:03.927652,114.6
2021-12-29 15:34:03.927652,115.9
2021-12-30 13:51:55.229168,116.6
2021-12-30 14:34:04.836986,118.0
2021-12-30 18:30:15.529568,117.0
2021-12-30 18:57:55.715137,119.2
2021-12-31 00:49:32.742077,119.2
2021-12-31 14:58:17.170842,116.4
2021-12-31 15:52:01.063001,118.6
